Code v2.0; CMO with disk,5; threshold=0.08 
Trained on images gathered using imagepostprocessor2, false gathered automatically (no buffer)
No mean reduction, only two categories, no sanitation of images
# Im, # detections, # 0.5to0.6 (c/tot), # 0.6to0.7 (c/tot), # 0.7to0.8 (c/tot), # 0.8+ (c/tot), time 
2500, 517, 0/5, 0/3, 0/0, 0/0, 7.193691e+01 
2501, 470, 0/4, 0/1, 0/0, 0/0, 6.369217e+01 
2502, 499, 0/4, 0/1, 0/1, 0/0, 5.892660e+01 
2503, 508, 0/3, 0/0, 0/0, 0/0, 5.739183e+01 
2504, 503, 0/8, 0/0, 0/0, 0/0, 5.480145e+01 
2505, 487, 0/5, 0/1, 0/0, 0/0, 5.375049e+01 
2506, 544, 0/2, 0/1, 0/0, 0/0, 6.404502e+01 
2507, 545, 0/3, 0/1, 0/0, 0/0, 6.369480e+01 
2508, 505, 0/2, 0/1, 0/0, 0/0, 5.747001e+01 
2509, 520, 0/4, 0/1, 0/0, 0/0, 5.675570e+01 
2510, 517, 0/3, 0/3, 0/0, 0/0, 5.719517e+01 
2511, 517, 0/4, 0/2, 0/0, 0/0, 5.982029e+01 
2512, 486, 0/3, 0/0, 0/1, 0/0, 5.325105e+01 
2513, 495, 0/4, 0/0, 0/1, 0/0, 5.379664e+01 
2514, 518, 0/3, 0/2, 0/1, 0/0, 5.869809e+01 
2515, 518, 0/1, 0/1, 0/1, 0/0, 5.790556e+01 
2516, 534, 0/2, 0/1, 0/0, 0/0, 5.996314e+01 
2517, 508, 0/1, 0/1, 0/0, 0/0, 6.041841e+01 
2518, 493, 0/3, 0/1, 0/0, 0/0, 6.776229e+01 
2519, 515, 0/1, 0/2, 0/0, 0/1, 6.309276e+01 
2520, 483, 0/1, 0/1, 0/0, 0/0, 5.450149e+01 
2521, 492, 0/5, 0/1, 0/1, 0/0, 5.457301e+01 
2522, 527, 0/0, 0/0, 0/1, 0/0, 7.116542e+01 
2523, 492, 0/4, 0/0, 0/1, 0/0, 6.616843e+01 
2524, 498, 0/3, 0/1, 0/0, 0/0, 6.699865e+01 
2525, 509, 0/2, 0/1, 0/1, 0/0, 6.632299e+01 
2526, 508, 0/2, 0/0, 0/0, 0/0, 5.738338e+01 
2527, 512, 0/0, 0/2, 0/0, 0/0, 5.860044e+01 
2528, 515, 0/0, 0/0, 0/0, 0/0, 5.913306e+01 
2529, 500, 0/1, 0/0, 0/0, 0/0, 5.717228e+01 
2530, 479, 0/2, 0/0, 0/0, 0/0, 5.231153e+01 
2531, 493, 0/0, 0/1, 0/0, 0/0, 5.417675e+01 
2532, 493, 0/1, 0/2, 0/0, 0/0, 5.457814e+01 
2533, 499, 0/0, 0/1, 0/0, 0/0, 5.447438e+01 
2534, 490, 0/3, 0/1, 0/0, 0/0, 5.308418e+01 
2535, 503, 0/4, 0/0, 0/0, 0/0, 5.525628e+01 
2536, 482, 0/1, 0/0, 0/0, 0/0, 5.807984e+01 
2537, 481, 0/2, 0/0, 0/0, 0/0, 5.484786e+01 
2538, 495, 0/0, 0/0, 0/0, 0/0, 5.472343e+01 
2539, 503, 0/0, 0/0, 0/0, 0/0, 5.663249e+01 
2540, 482, 0/0, 0/1, 0/0, 0/0, 5.645956e+01 
2541, 492, 0/0, 0/1, 0/0, 0/0, 5.765427e+01 
2542, 515, 0/2, 0/0, 0/0, 0/0, 5.930255e+01 
2543, 516, 0/3, 0/1, 0/0, 0/0, 6.239509e+01 
2544, 479, 0/5, 0/0, 0/0, 0/0, 5.450291e+01 
2545, 497, 0/2, 0/0, 0/0, 0/0, 5.480025e+01 
2546, 503, 0/3, 0/0, 0/0, 0/0, 5.452622e+01 
2547, 481, 0/1, 0/0, 0/0, 0/0, 5.198242e+01 
2548, 504, 0/4, 0/0, 0/0, 0/0, 5.827386e+01 
2549, 536, 0/1, 0/0, 0/0, 0/0, 6.154468e+01 
2600, 534, 0/2, 0/1, 0/0, 0/0, 6.178634e+01 
2601, 512, 0/4, 0/0, 0/0, 0/0, 6.290463e+01 
2602, 536, 0/2, 0/0, 0/0, 0/0, 6.305198e+01 
2603, 511, 0/1, 0/1, 0/0, 0/0, 6.607917e+01 
