nHoodName 	Hmu 		Hsigma 		Lmu 		Lsigma 
disk3 		0.152413 	0.099710 	0.106937 	0.099866 
diamond3 	0.152668 	0.105043 	0.109392 	0.103931 
disk5 		0.157601 	0.107896 	0.112410 	0.107054 
diamond5 	0.158837	0.109925 	0.114132 	0.109569 
disk7 		0.163142 	0.111813 	0.115682 	0.111019 
diamond7 	0.163631 	0.112723 	0.116896 	0.112468 
disk10 		0.166864 	0.114520 	0.118053 	0.113811 
diamond10 	0.167098 	0.114909 	0.118901 	0.114665 
disk15 		0.169609 	0.116409 	0.119291	0.116246 
diamond15 	0.169701 	0.116497 	0.119801	0.116885 
