Time	   Frame       x-pixel	  y-pixel
161.933333 2429.000000 761.000000 748.000000
162.000000 2430.000000 765.000000 745.000000
162.066667 2431.000000 771.000000 745.000000
162.133333 2432.000000 775.000000 745.000000
162.200000 2433.000000 781.000000 745.000000
162.266667 2434.000000 789.000000 742.000000
162.333333 2435.000000 795.000000 741.000000
162.400000 2436.000000 797.000000 739.000000
162.466667 2437.000000 797.000000 739.000000
162.533333 2438.000000 796.000000 737.000000
162.600000 2439.000000 792.000000 737.000000
162.666667 2440.000000 790.000000 734.000000
162.733333 2441.000000 788.000000 733.000000
162.800000 2442.000000 786.000000 731.000000
162.866667 2443.000000 779.000000 730.000000
162.933333 2444.000000 771.000000 729.000000
163.000000 2445.000000 766.000000 728.000000
163.066667 2446.000000 764.000000 729.000000
163.133333 2447.000000 764.000000 726.000000
163.200000 2448.000000 769.000000 726.000000
163.266667 2449.000000 774.000000 724.000000
163.333333 2450.000000 778.000000 721.000000
163.400000 2451.000000 782.000000 718.000000
163.466667 2452.000000 786.000000 717.000000
163.533333 2453.000000 789.000000 717.000000
163.600000 2454.000000 794.000000 713.000000
163.666667 2455.000000 803.000000 711.000000
163.733333 2456.000000 812.000000 709.000000
163.800000 2457.000000 820.000000 706.000000
163.866667 2458.000000 825.000000 702.000000
163.933333 2459.000000 829.000000 701.000000
164.000000 2460.000000 832.000000 698.000000
164.066667 2461.000000 835.000000 697.000000
164.133333 2462.000000 841.000000 693.000000
164.200000 2463.000000 845.000000 688.000000
164.266667 2464.000000 845.000000 685.000000
164.333333 2465.000000 843.000000 681.000000
164.400000 2466.000000 839.000000 678.000000
164.466667 2467.000000 834.000000 676.000000
164.533333 2468.000000 829.000000 676.000000
164.600000 2469.000000 825.000000 673.000000
164.666667 2470.000000 822.000000 673.000000
164.733333 2471.000000 818.000000 671.000000
164.800000 2472.000000 813.000000 670.000000
164.866667 2473.000000 805.000000 669.000000
164.933333 2474.000000 798.000000 668.000000
165.000000 2475.000000 790.000000 669.000000
165.066667 2476.000000 786.000000 672.000000
165.133333 2477.000000 782.000000 671.000000
165.200000 2478.000000 779.000000 673.000000
165.266667 2479.000000 776.000000 674.000000
165.333333 2480.000000 771.000000 676.000000
165.400000 2481.000000 765.000000 681.000000
165.466667 2482.000000 760.000000 686.000000
165.533333 2483.000000 756.000000 690.000000
165.600000 2484.000000 754.000000 694.000000
165.666667 2485.000000 755.000000 698.000000
165.733333 2486.000000 756.000000 702.000000
165.800000 2487.000000 756.000000 707.000000
165.866667 2488.000000 750.000000 711.000000
165.933333 2489.000000 744.000000 715.000000
166.000000 2490.000000 741.000000 721.000000
166.066667 2491.000000 741.000000 726.000000
166.133333 2492.000000 743.000000 727.000000
166.200000 2493.000000 746.000000 730.000000
166.266667 2494.000000 748.000000 736.000000
166.333333 2495.000000 746.000000 738.000000
166.400000 2496.000000 743.000000 743.000000
166.466667 2497.000000 742.000000 747.000000
166.533333 2498.000000 741.000000 755.000000
166.600000 2499.000000 742.000000 759.000000
166.666667 2500.000000 747.000000 764.000000
166.733333 2501.000000 750.000000 769.000000
166.800000 2502.000000 751.000000 775.000000
166.866667 2503.000000 751.000000 781.000000
166.933333 2504.000000 752.000000 791.000000
167.000000 2505.000000 752.000000 802.000000
167.066667 2506.000000 753.000000 810.000000
167.133333 2507.000000 758.000000 821.000000
167.200000 2508.000000 762.000000 834.000000
167.266667 2509.000000 762.000000 847.000000
167.333333 2510.000000 760.000000 859.000000
167.400000 2511.000000 759.000000 873.000000
167.466667 2512.000000 757.000000 890.000000
167.533333 2513.000000 758.000000 901.000000
167.600000 2514.000000 759.000000 909.000000
167.666667 2515.000000 760.000000 919.000000
167.733333 2516.000000 757.000000 928.000000
167.800000 2517.000000 751.000000 935.000000
167.866667 2518.000000 746.000000 944.000000
167.933333 2519.000000 743.000000 951.000000
168.000000 2520.000000 739.000000 957.000000
168.066667 2521.000000 739.000000 961.000000
168.133333 2522.000000 737.000000 965.000000
168.200000 2523.000000 729.000000 970.000000
168.266667 2524.000000 719.000000 972.000000
168.333333 2525.000000 708.000000 976.000000
168.400000 2526.000000 697.000000 982.000000
168.466667 2527.000000 688.000000 984.000000
168.533333 2528.000000 679.000000 985.000000
168.600000 2529.000000 673.000000 987.000000
168.666667 2530.000000 660.000000 988.000000
168.733333 2531.000000 649.000000 987.000000
168.800000 2532.000000 639.000000 990.000000
168.866667 2533.000000 631.000000 993.000000
168.933333 2534.000000 623.000000 997.000000
169.000000 2535.000000 620.000000 1000.000000
169.066667 2536.000000 619.000000 999.000000
169.133333 2537.000000 614.000000 1005.000000
169.200000 2538.000000 609.000000 1008.000000
169.266667 2539.000000 604.000000 1012.000000
169.333333 2540.000000 598.000000 1018.000000
169.400000 2541.000000 595.000000 1023.000000
169.466667 2542.000000 596.000000 1028.000000
169.533333 2543.000000 598.000000 1031.000000
169.600000 2544.000000 597.000000 1034.000000
169.666667 2545.000000 598.000000 1039.000000
169.733333 2546.000000 598.000000 1044.000000
169.800000 2547.000000 598.000000 1049.000000
169.866667 2548.000000 599.000000 1056.000000
169.933333 2549.000000 606.000000 1060.000000
170.000000 2550.000000 612.000000 1064.000000
170.066667 2551.000000 617.000000 1067.000000
170.133333 2552.000000 620.000000 1070.000000
170.200000 2553.000000 622.000000 1073.000000
170.266667 2554.000000 622.000000 1076.000000
170.333333 2555.000000 625.000000 1078.000000
170.400000 2556.000000 631.000000 1077.000000
170.466667 2557.000000 639.000000 1075.000000
170.533333 2558.000000 644.000000 1071.000000
170.600000 2559.000000 650.000000 1066.000000
170.666667 2560.000000 655.000000 1063.000000
170.733333 2561.000000 659.000000 1059.000000
170.800000 2562.000000 662.000000 1056.000000
170.866667 2563.000000 669.000000 1053.000000
170.933333 2564.000000 677.000000 1047.000000
171.000000 2565.000000 685.000000 1042.000000
171.066667 2566.000000 695.000000 1039.000000
171.133333 2567.000000 702.000000 1035.000000
171.200000 2568.000000 709.000000 1035.000000
171.266667 2569.000000 715.000000 1034.000000
171.333333 2570.000000 726.000000 1031.000000
171.400000 2571.000000 737.000000 1028.000000
171.466667 2572.000000 746.000000 1027.000000
171.533333 2573.000000 753.000000 1024.000000
171.600000 2574.000000 760.000000 1023.000000
171.666667 2575.000000 763.000000 1021.000000
